cog,commune,prenom,nom,sexe,dateNais,dateMandat,famille_nuance,nuance_politique
1080,Champdor-Corcelles,Stéphane,MARTINAND,M,1970-02-27,2020-05-18,Non classé,NC
1081,Champfromier,Jacques,VIALON,M,1974-09-05,2020-05-18,Non classé,NC
1082,Chanay,Elisabeth,JEAMBENOIT,F,1953-02-16,2020-05-18,,
1083,Chaneins,Patrice,FLAMAND,M,1970-05-19,2020-05-18,Non classé,NC
1084,Chanoz-Châtenay,Olivier,MORANDAT,M,1969-02-14,2020-05-18,Non classé,NC
1085,La Chapelle-Du-Châtelard,Cyrille,RIMAUD,M,1960-05-05,2020-06-28,Non classé,NC
1087,Charix,Didier,PALISSON,M,1964-07-14,2020-06-28,Non classé,NC
1088,Charnoz-Sur-Ain,Jean-Louis,GUYADER,M,1949-04-22,2020-05-18,Non classé,NC
1089,Château-Gaillard,Joël,BRUNET,M,1955-05-02,2020-05-18,Non classé,LNC
1090,Châtenay,Evelyne,BERNARD,F,1953-04-23,2020-05-18,Non classé,NC
1092,Châtillon-La-Palud,Dominique,LAMY,M,1959-12-07,2020-05-18,Non classé,LNC
1093,Châtillon-Sur-Chalaronne,Patrick,MATHIAS,M,1966-10-19,2020-05-18,Droite,LDVD
1094,Chavannes-Sur-Reyssouze,Dominique,DOUARD,F,1953-02-06,2021-09-12,Non classé,NC
1095,Nivigne Et Suran,Bernard,PRIN,M,1961-06-16,2020-05-18,Non classé,NC
1096,Chaveyriat,Claude,JACQUET,M,1956-08-29,2020-05-18,,
1098,Chazey-Bons,Philip,LALLEMENT,M,1965-09-01,2020-05-18,Non classé,LNC
1099,Chazey-Sur-Ain,Claire,ANDRÉ,F,1963-10-28,2020-05-18,Non classé,LNC
1100,Cheignieu-La-Balme,Marc,BUET,M,1958-06-13,2020-05-18,Non classé,NC
1101,Chevillard,Alain Daniel,BROCHARD,M,1953-05-22,2021-05-02,Non classé,NC
1102,Chevroux,Dominique,SAVOT,M,1962-07-03,2020-05-18,Non classé,NC
1104,Chézery-Forens,Bernard,VUAILLAT,M,1956-08-14,2020-05-18,Non classé,NC
1105,Civrieux,Gérard,PORRETTI,M,1953-01-18,2020-05-18,Non classé,LNC
1106,Cize,Luc,DESBOIS,M,1965-01-31,2020-05-18,Non classé,NC
1107,Cleyzieu,Jean,PEYSSON,M,1950-02-19,2020-05-18,Non classé,NC
1108,Coligny,Bruno,RAFFIN,M,1961-07-16,2020-05-18,Non classé,LNC
1109,Collonges,Lionel,PERREAL,M,1968-08-27,2020-05-18,Non classé,LNC
1111,Conand,Françoise,GARIBIAN,F,1958-11-01,2020-06-28,Non classé,NC
1112,Condamine,Damien,VAILLOUD,M,1985-10-18,2020-05-18,Non classé,NC
1113,Condeissiat,Stephen,GAUTIER,M,1963-07-29,2020-05-18,Non classé,NC
1114,Confort,Daniel,BRIQUE,M,1952-07-14,2020-05-18,Non classé,NC
1115,Confrançon,Jean Paul,BUELLET,M,1958-05-13,2020-05-18,Non classé,LNC
1116,Contrevoz,Jean-Daniel,BALASTRIER,M,1960-06-26,2020-05-18,Non classé,NC
1117,Conzieu,Pascal,PEZANT,M,1959-07-26,2020-05-18,Non classé,NC
1121,Corlier,Jean-François,DUPONT,M,1962-11-29,2020-05-18,Non classé,NC
1123,Cormoranche-Sur-Saône,Jacques,PALLOT,M,1948-11-01,2020-06-28,Non classé,LNC
1124,Cormoz,Nicolas,SCHWEITZER,M,1975-04-19,2020-05-18,Non classé,NC
1125,Corveissiat,Jonathan,GINDRE,M,1983-04-27,2020-05-18,Non classé,NC
1127,Courmangoux,Mireille,MORNAY,F,1959-01-09,2020-05-18,Non classé,NC
1128,Courtes,Thierry,PALLEGOIX,M,1971-02-10,2020-05-18,Non classé,NC
1129,Crans,Françoise,MORTREUX,F,1968-10-19,2020-05-18,Non classé,NC
1130,Bresse Vallons,Virginie,GRIGNOLA-BERNARD,F,1970-12-01,2020-05-18,Non classé,LNC
1133,Cressin-Rochefort,Frédéric,CHIFFE,M,1967-01-30,2020-05-18,Non classé,NC
1134,Crottet,Jean-Philippe,LHOTELAIS,M,1950-10-10,2020-05-18,Non classé,LNC
1135,Crozet,Martine,JOUANNET,F,1955-06-04,2020-05-18,Non classé,LNC
1136,Cruzilles-Lès-Mépillat,Dominique,BOYER,M,1969-12-25,2020-05-18,Non classé,NC
1138,Culoz-Béon,Franck,ANDRE-MASSE,M,1963-09-22,2023-01-01,Non classé,LNC
1139,Curciat-Dongalon,Didier,FLEURY,M,1968-09-11,2020-05-18,Non classé,NC
1140,Curtafond,Christian,LABALME,M,1952-08-02,2020-05-18,Non classé,NC
1141,Cuzieu,Laurence,CROSNIER,F,1975-01-02,2020-05-18,Non classé,NC
1142,Dagneux,Jean-Christophe,PEGUET,M,1969-08-31,2024-03-24,,
1143,Divonne-Les-Bains,Vincent,SCATTOLIN,M,1979-01-27,2020-05-18,Droite,LDVD
1145,Dompierre-Sur-Veyle,Martine,TABOURET,F,1961-03-03,2020-05-18,Non classé,LNC
1146,Dompierre-Sur-Chalaronne,Didier,MUNERET,M,1959-07-26,2020-05-18,Non classé,NC
1147,Domsure,Patrick,VACLE,M,1961-04-11,2020-06-28,Non classé,NC
1148,Dortan,Marianne,DUBARE,F,1958-11-10,2020-05-18,Non classé,LNC
1149,Douvres,Christian,LIMOUSIN,M,1953-03-25,2020-05-18,Non classé,LNC
1150,Drom,Michel,GUILLOT,M,1961-12-19,2020-05-18,Non classé,NC
1151,Druillat,Jean-Luc,EMIN,M,1962-04-14,2020-05-18,Non classé,LNC
1152,Echallon,Thierry,PERNOD,M,1961-08-09,2020-06-28,Non classé,NC
1153,Echenevex,Isabelle,PASSUELLO,F,1961-02-04,2020-05-18,Non classé,LNC
1155,Evosges,Christophe,GUILLET,M,1949-08-16,2020-05-18,Non classé,NC
1156,Faramans,Gérard,BROCHIER,M,1956-10-26,2020-05-18,Non classé,NC
1157,Fareins,Yves,DUMOULIN,M,1955-12-15,2020-05-18,Non classé,LNC
1158,Farges,Monique,GRAZIOTTI,F,1961-08-22,2020-05-18,Non classé,LNC
1159,Feillens,Guy,BILLOUDET,M,1959-03-07,2020-05-18,Non classé,LNC
1160,Ferney-Voltaire,Daniel,RAPHOZ,M,1955-12-06,2020-06-28,Droite,LDVD
1162,Flaxieu,Serge,BAL,M,1956-03-09,2020-05-18,Non classé,NC
1163,Foissiat,Jean-Luc,PICARD,M,1960-07-15,2020-05-18,Non classé,LNC
1165,Francheleins,Jean-Michel,LUX,M,1963-03-11,2020-05-18,Non classé,LNC
1166,Frans,Michelle,NUGUET,F,1966-03-22,2020-05-18,Non classé,LNC
1167,Garnerans,Dominique,VIOT,M,1961-02-03,2020-05-18,Non classé,NC
1169,Genouilleux,Alain,REIGNIER,M,1950-05-13,2020-05-18,Non classé,NC
1170,Beard-Géovreissiat,Laurent,COMTET,M,1967-12-02,2020-05-18,Non classé,LNC
1171,Géovreisset,Jeannine,MOREL,F,1948-06-25,2020-05-18,Non classé,NC
1173,Gex,Patrice,DUNAND,M,1968-10-15,2020-05-18,Droite,LDVD
1174,Giron,Florian,MOINE,M,1992-06-05,2020-05-18,Non classé,NC
1175,Gorrevod,Henri,GUILLERMIN,M,1940-12-24,2020-05-18,Non classé,NC
1177,Grand-Corent,Benjamin,RAQUIN,M,1984-12-02,2020-05-18,Non classé,NC
1179,Grièges,Annick,GREMY,F,1971-01-31,2020-05-18,Non classé,LNC
1180,Grilly,Christine,DUPENLOUP,F,1967-02-20,2020-05-18,Non classé,NC
1181,Groissiat,Patricia,DEGUERRY,F,1964-08-08,2020-05-18,Non classé,LNC
1183,Guéreins,Claude,CLEYET-MARREL,F,1954-08-23,2020-05-18,Non classé,LNC
1184,Hautecourt-Romanèche,Marc,ROCHET,M,1949-02-06,2020-06-28,Non classé,NC
1185,Plateau D'Hauteville,Philippe,EMIN,M,1962-07-26,2020-05-18,Droite,LDVD
1187,Haut Valromey,Bernard,ANCIAN,M,1958-04-16,2020-05-18,Non classé,NC
1188,Illiat,Richard,LABALME,M,1968-05-18,2020-05-18,Non classé,NC
1189,Injoux-Génissiat,Denis,MOSSAZ,M,1978-10-13,2020-05-18,,
1190,Innimond,Serge,GARDIEN,M,1953-04-04,2020-05-18,Non classé,NC
1191,Izenave,Thiery,DRUET,M,1964-07-22,2020-05-18,Non classé,NC
1192,Izernore,Sylvie,COMUZZI,F,1958-02-08,2020-05-18,Non classé,LNC
1193,Izieu,Denis,MARTIN-BARBAZ,M,1965-03-30,2020-05-18,Non classé,NC
1195,Jasseron,Sébastien,GOBERT,M,1973-01-02,2020-06-28,Non classé,LNC
1196,Jayat,Mickaël,MOREL,M,1979-07-19,2020-05-18,Non classé,LNC
1197,Journans,André,TONNELLIER,M,1947-12-03,2020-05-18,Non classé,NC
1198,Joyeux,Joël,MATHY,M,1965-09-05,2020-05-18,Non classé,NC
1199,Jujurieux,Anne,BOLLACHE,F,1966-10-17,2020-05-18,Non classé,LNC
1200,Labalme,Frédérique,MOLLIE,F,1968-11-23,2020-05-18,Non classé,NC
1202,Lagnieu,André,MOINGEON,M,1948-10-26,2020-05-18,Droite,LDVD
1203,Laiz,Sébastien,SCHAUVING,M,1972-12-01,2020-05-18,Non classé,LNC
1204,Le Poizat-Lalleyriat,Bernard,LENSEL,M,1952-01-03,2020-05-18,Non classé,NC
1206,Lantenay,Jean-Louis,BENOIT,M,1953-09-16,2020-05-18,Non classé,NC
1207,Lapeyrouse,Gilles,DUBOST,M,1959-04-11,2020-05-18,Non classé,NC
1208,Lavours,Chantal,CASANOVAS,F,1956-02-07,2020-05-18,Non classé,NC
1209,Léaz,Christine,BLANC,F,1966-04-15,2020-05-18,Non classé,NC
1210,Lélex,Roger,GROSSIORD,M,1959-05-13,2020-06-28,Non classé,NC
1211,Lent,Yves,CRISTIN,M,1958-11-25,2020-05-18,Non classé,LNC
1212,Lescheroux,Aimé,NICOLIER,M,1972-05-17,2020-05-18,Non classé,NC
1213,Leyment,Lionel,KLINGLER,M,1968-03-22,2022-09-25,,
1214,Leyssard,Michel,MOURLEVAT,M,1958-01-18,2020-05-18,Non classé,NC
1215,Surjoux-Lhopital,Frédéric,MALFAIT,M,1974-11-28,2020-05-18,Non classé,NC
1216,Lhuis,Emmanuel,GINET,M,1971-09-09,2020-05-18,Non classé,NC
1219,Lompnas,Alexandre,JOUX,M,1992-10-17,2020-05-18,Non classé,NC
1224,Loyettes,Jean Pierre,GAGNE,M,1957-09-23,2020-05-18,Non classé,LNC
1225,Lurcy,Nathalie,BISIGNANO,F,1964-10-15,2020-05-18,Non classé,NC
1227,Magnieu,Thierry,GUITTET,M,1962-12-01,2020-05-18,Non classé,NC
1228,Maillat,Jean Cyrille,DUCRET,M,1958-06-07,2020-05-18,Non classé,NC
1229,Malafretaz,Gary,LEROUX,M,1973-11-12,2020-05-18,Non classé,LNC
1230,Mantenay-Montlin,Michel,LEMAIRE,M,1950-07-26,2020-05-18,Non classé,NC
1231,Manziat,Denis,LARDET,M,1967-09-05,2020-05-18,Non classé,LNC
1232,Marboz,Christelle,MOIRAUD,F,1968-08-07,2020-05-18,Non classé,LNC
1233,Marchamp,Jean,MARCELLI,M,1943-07-01,2020-05-18,Non classé,NC
1234,Marignieu,Pascal,DEMANGE,M,1958-03-28,2020-05-18,Non classé,NC
1235,Marlieux,Jean-Paul,GRANDJEAN,M,1943-07-03,2020-05-18,Non classé,LNC
1236,Marsonnas,Guy,ANTOINET,M,1953-08-23,2020-05-18,Non classé,NC
1237,Martignat,Julien,ISSARTEL,M,1980-05-31,2020-05-18,Non classé,LNC
1238,Massieux,Patrick,NABETH,M,1961-06-22,2020-05-18,Non classé,LNC
1239,Massignieu-De-Rives,Didier,VINETTE,M,1964-05-21,2020-05-18,Non classé,NC
1240,Matafelon-Granges,Jean-Pierre,DUPARCHY,M,1954-04-21,2020-05-18,Non classé,NC
1241,Meillonnas,Jean-Pierre,ARRAGON,M,1958-02-27,2020-05-18,Non classé,LNC
1242,Mérignat,Alain,POIZAT,M,1948-11-13,2020-05-18,Non classé,NC
1243,Messimy-Sur-Saône,Vincent,GELAS,M,1962-05-31,2020-05-18,,
1244,Meximieux,Jean-Luc,RAMEL,M,1965-08-16,2020-05-18,Droite,LDVD
1245,Bohas-Meyriat-Rignat,Emmanuel,DARMEDRU,M,1966-08-06,2020-05-18,Non classé,NC
1246,Mézériat,Guy,DUPUIT,M,1951-04-26,2020-05-18,Non classé,LNC
1247,Mijoux,Martine,VIALLET,F,1953-12-07,2020-06-28,Non classé,NC
1248,Mionnay,Henri,CORMORÈCHE,M,1954-12-09,2020-05-18,,
1249,Miribel,Jean-Pierre,GAITET,M,1954-01-23,2020-06-28,Droite,LDVD
1250,Misérieux,Gabriel,AUMONIER,M,1958-05-03,2020-05-18,Non classé,LNC
1252,Mogneneins,Franck,CALAS,M,1973-05-01,2020-05-18,Non classé,NC
1254,Montagnat,Yvan,CHICHOUX,M,1954-10-08,2020-05-18,Non classé,LNC
1255,Montagnieu,Jean,ROSET,M,1981-11-04,2020-05-18,Non classé,NC
1257,Montanges,Christophe,MARQUET,M,1971-09-28,2020-05-18,Non classé,NC
1258,Montceaux,Jean Claude,DESCHIZEAUX,M,1948-03-16,2020-05-18,Non classé,LNC
1259,Montcet,Franck,TARPIN,M,1960-06-08,2020-05-18,Non classé,NC
1260,Le Montellier,Patrice,MARTIN,M,1971-05-13,2020-05-18,Non classé,NC
1261,Monthieux,Philippe,PAILLASSON,M,1952-08-04,2020-05-18,Non classé,NC
1262,Montluel,Anne,FABIANO,F,1960-09-24,2020-05-18,,
1263,Montmerle-Sur-Saône,Philippe,PROST,M,1960-11-29,2020-05-18,Droite,LDVD
1264,Montracol,David,LAFONT,M,1976-07-03,2020-05-18,Non classé,LNC
1265,Montréal-La-Cluse,Patrick,DUFOUR,M,1960-02-24,2020-05-18,Non classé,LNC
1266,Montrevel-En-Bresse,Jean-Yves,BREVET,M,1965-05-21,2020-05-18,Non classé,LNC
1267,Nurieux-Volognat,Arlette,BERGER,F,1948-08-18,2020-05-18,Non classé,LNC
1268,Murs-Et-Gélignieux,Pierre,VALLIN,M,1988-08-26,2020-05-18,Non classé,NC
1269,Nantua,Jean-Pascal,THOMASSET,M,1960-06-27,2020-05-18,Droite,LDVD
1272,Neuville-Les-Dames,Michel,CHALAYER,M,1948-09-14,2020-05-18,Non classé,LNC
1273,Neuville-Sur-Ain,Thierry,DUPUIS,M,1959-01-19,2020-05-18,Non classé,LNC
1274,Les Neyrolles,Lucien,JUILLARD,M,1949-07-24,2020-05-18,Non classé,NC
1275,Neyron,Christine,FRANCOIS,F,1963-03-21,2021-12-05,,
1276,Niévroz,Patrick,BATTISTA,M,1959-12-28,2020-05-18,Non classé,LNC
1277,Nivollet-Montgriffon,Emmanuel,SIMONNET,M,1975-07-31,2020-05-18,Non classé,NC
1279,Oncieu,Denis,JACQUEMIN,M,1961-06-15,2020-05-18,Non classé,NC
1280,Ordonnaz,Laurent,REYMOND-BABOLAT,M,1972-02-05,2020-06-28,Non classé,NC
1281,Ornex,Olivier,GUICHARD,M,1969-05-21,2020-05-18,,
1282,Outriaz,Claude,MOREL,M,1947-07-18,2020-05-18,Non classé,NC
1283,Oyonnax,Michel,PERRAUD,M,1953-04-15,2020-05-18,Droite,LDVD
1284,Ozan,Marie-Jeanne,PESENTI,F,1957-05-12,2020-05-18,,
1285,Parcieux,Nathalie,TISSERAND,F,1967-03-26,2020-05-18,,
1286,Parves Et Nattages,Claude,COMET,F,1954-11-16,2020-05-18,Non classé,NC
1288,Péron,Dominique,BLANC,F,1963-07-14,2021-06-15,,
1289,Péronnas,Hélène,CÉDILEAU,F,1963-07-24,2020-05-18,,
1290,Pérouges,Nathalie,MAGNON-MICOLAS,F,1966-10-23,2020-05-18,,
1291,Perrex,Jean-Jacques,VIGHETTI,M,1974-06-17,2020-05-18,Non classé,NC
1293,Peyriat,Sylvain,GUENRO,M,1974-09-21,2020-05-18,Non classé,NC
1294,Peyrieu,Maurice,BETTANT,M,1953-01-01,2020-06-28,Non classé,NC
1295,Peyzieux-Sur-Saône,Monique,THIVOLLE,F,1955-09-15,2020-05-18,Non classé,NC
1296,Pirajoux,Noël,PIROUX,M,1954-02-14,2020-05-18,Non classé,NC
1297,Pizay,Marc,GRIMAND,M,1955-04-30,2020-05-18,Non classé,NC
1298,Plagne,Philippe,DINOCHEAU,M,1971-01-07,2020-06-28,Non classé,NC
1299,Le Plantay,Patrick,SARONI,M,1957-12-14,2020-05-18,Non classé,NC
1301,Polliat,Bernard,BIENVENU,M,1957-02-20,2020-05-18,Non classé,LNC
1302,Pollieu,Jean-Philippe,BRUN,M,1955-06-26,2020-06-28,Non classé,NC
1303,Poncin,Jean-Michel,GIROUX,M,1948-04-06,2020-05-18,Non classé,LNC
1304,Pont-D'Ain,Vincent,BOURDEAUDUCQ,M,1980-11-23,2020-10-11,,
1305,Pont-De-Vaux,Yves,PAUGET,M,1950-12-06,2020-05-18,Non classé,LNC
1306,Pont-De-Veyle,Michel,MARQUOIS,M,1953-07-16,2020-05-18,Non classé,LNC
1307,Port,Gérard,DUTRAIT,M,1944-10-16,2020-06-28,Non classé,NC
1308,Pougny,Annie,MARCELOT,F,1956-03-19,2020-06-28,Non classé,NC
1309,Pouillat,Jean-Pierre,REVEL,M,1955-12-08,2020-05-18,Non classé,NC
1310,Prémeyzel,Jean-Pierre,ROPELE,M,1950-12-16,2020-05-18,Non classé,NC
1311,Prémillieu,Pascal,TORRION,M,1968-02-29,2020-06-28,Non classé,NC
1313,Prévessin-Moëns,Aurélie,CHARILLON,F,1976-11-29,2020-05-18,Droite,LDVD
1314,Priay,Fabienne,CHARMETANT,F,1969-10-08,2020-05-18,Non classé,LNC
1317,Ramasse,Christian,PASSAQUET,M,1964-05-20,2020-05-18,Non classé,NC
1318,Rancé,Fabien,BIHLER,M,1973-11-10,2020-05-18,Non classé,NC
1319,Relevant,Christiane,CURNILLON,F,1950-06-05,2020-06-28,Non classé,NC
1320,Replonges,Bertrand,VERNOUX,M,1966-12-19,2020-05-18,Droite,LDVD
1321,Revonnas,Patrick,ROCHE,M,1976-12-02,2020-05-18,Non classé,NC
1322,Reyrieux,Carole,BONTEMPS-HESDIN,F,1971-06-07,2020-05-18,Courants politiques divers,LDIV
1323,Reyssouze,Agnès,PELUS,F,1965-11-25,2020-06-28,Non classé,NC
1325,Rignieux-Le-Franc,Pascal,PAIN,M,1962-10-11,2020-05-18,Non classé,NC
1328,Romans,Jean-Michel,GAUTHIER,M,1953-04-16,2020-05-18,Non classé,NC
1329,Rossillon,Georges,BOUVIER,M,1954-04-22,2020-05-18,Non classé,NC
1330,Ruffieu,Pierre,BROUSSART,M,1948-10-14,2020-05-18,Non classé,NC
1331,Saint-Alban,Béatrice,DE VECCHI,F,1968-04-03,2020-06-28,Non classé,NC
1332,Saint-André-De-Bâgé,Philippe,PLENARD,M,1960-06-13,2020-05-18,Non classé,NC
1333,Saint-André-De-Corcy,Ludovic,LOREAU,M,1972-03-03,2020-05-18,Non classé,LNC
1334,Saint-André-D'Huiriat,Michel,DUBOST,M,1952-11-16,2020-05-18,Non classé,NC
1335,Saint-André-Le-Bouchoux,Alain,JAYR,M,1948-04-02,2020-05-18,Non classé,NC
1336,Saint-André-Sur-Vieux-Jonc,Bernard,QUIVET,M,1952-01-17,2020-05-18,Non classé,LNC
1337,Saint-Bénigne,Emily,UNIA,F,1978-12-12,2020-05-18,Non classé,LNC
1338,Groslée-Saint-Benoît,Henri,SOUDAN,M,1955-10-22,2020-05-18,Non classé,LNC
1339,Saint-Bernard,Bernard,REY,M,1958-08-22,2020-05-18,Non classé,LNC
1342,Sainte-Croix,Michel,LEVRAT,M,1962-09-23,2020-05-18,Non classé,NC
1343,Saint-Cyr-Sur-Menthon,Karine,PARET,F,1972-07-27,2020-05-18,,
1344,Saint-Denis-Lès-Bourg,Guillaume,FAUVET,M,1972-03-14,2020-05-18,Gauche,LDVG
1345,Saint-Denis-En-Bugey,Pascal,COLLIGNON,M,1957-07-22,2020-05-18,Non classé,LNC
1346,Saint-Didier-D'Aussiat,Catherine,PICARD,F,1952-09-21,2020-05-18,Non classé,NC
1347,Saint-Didier-De-Formans,Frédéric,VALLOS,M,1963-02-27,2020-05-18,Non classé,LNC
1348,Saint-Didier-Sur-Chalaronne,Renaud,DUMAY,M,1991-04-15,2020-05-18,Non classé,LNC
1349,Saint-Eloi,Jehan-Benoît,CHAMPAULT,M,1962-07-21,2020-05-18,Non classé,NC
1350,Saint-Etienne-Du-Bois,Alain,CHAPUIS,M,1970-11-25,2020-05-18,Non classé,LNC
1351,Saint-Etienne-Sur-Chalaronne,Gaétan,FAUVAIN,M,1985-11-22,2022-03-11,,
1352,Saint-Etienne-Sur-Reyssouze,Jean-Pierre,MARGUIN,M,1955-11-20,2020-05-18,Non classé,NC
1353,Sainte-Euphémie,Didier,ALBAN,M,1953-09-09,2020-05-18,Non classé,LNC
1354,Saint-Genis-Pouilly,Hubert,BERTRAND,M,1946-12-05,2020-06-28,Gauche,LDVG
1355,Saint-Genis-Sur-Menthon,Christophe,GREFFET,M,1967-07-07,2020-05-18,Non classé,NC
1356,Saint-Georges-Sur-Renon,Sonia,PERI,F,1977-10-09,2020-05-18,Non classé,NC
